HCP0.32,HCP0.71,HCP1.18,VCP0.32,VCP0.71,VCP1.18
19.874703578070402,20.071427984597687,19.953217132325133,19.20790726869577,19.683974277822212,19.675610269908308
19.93286489324048,19.954401129713613,19.991000855330284,18.638892900787063,19.39271767813357,19.673343859671554
19.6937136187797,19.86549959921179,20.0380647426542,17.924160676073935,19.068506578477027,19.417254039311363
19.315404380348898,19.810387497818184,19.969924275167678,16.765606437684884,18.464447067855122,18.9957796944031
18.26164917173378,19.586753682495214,19.813887944238726,15.4666467563694,17.46652977198994,18.3847583154943
16.881636519743836,18.92691876676088,19.52802116578192,13.971606663928018,16.2082913237644,17.51360246661093
14.999995054337937,17.957670074877498,18.992124570725323,12.687159310521,14.864184199470674,16.34265383864842
13.585377014140372,16.4441634023696,18.151944816969138,11.826071148454126,13.630547969663745,15.07871675673051
12.502744171770686,14.898171281813935,16.84408346547796,11.276270584557267,12.657399179544775,13.95955329110444
11.846977694036996,13.770960934943593,15.658155427613199,10.908492938843022,12.014681767494919,13.005812507937634
11.387737541432612,13.032165581776765,14.62726964007652,10.727523905389784,11.506322249892508,12.443259510188321
11.24108492371438,12.438718298761598,13.895649807289402,10.576944202884695,11.255772474517057,12.016436545209324
11.109776480180313,12.242363238557441,13.440425309432127,10.518474963504552,11.109115958901967,11.816220008564075
10.959262533429895,12.102896419809458,13.207732703153662,10.38863430893487,10.988465192519673,11.711995384889375
10.854482918535673,11.950314882792817,13.05888657798288,10.475493017791774,10.908391858488363,11.577055799673369
10.872158009534868,11.805955087352537,12.914620276492778,10.415259616878387,10.878668992109015,11.520193113434525
10.835394065874418,11.684246480901166,12.886979917257499,10.463252768303015,10.926895532358957,11.504552141375152
10.780407516812497,11.716791455204811,12.855574541576106,10.288014668794755,10.918588572134059,11.419878410666037
10.796767226728043,11.759656674456412,12.853358872554901,10.32652495439096,10.849345243363823,11.517187556726407
10.80366579244024,11.805581880769719,12.839029278704425,10.481573536597855,10.900379547204587,11.450402160221703
