VCP0.32,VCP0.71,VCP1.18,HCP0.32,HCP0.71,HCP1.18,x,y
62.50628604461841,76.51259519210198,80.83395160012915,84.17340414276035,88.87842316745099,85.40826572376146,0,0
41.40358642686626,57.26958372363848,66.14966966377484,59.207150676371135,77.2086829708498,80.32718620239143,1,0
33.45528355352813,46.16944752268017,55.60582718808449,45.84766329792554,64.88995771077211,72.97125124847838,2,0
29.51208791410484,39.45178639703613,48.075758485351024,38.58889826391975,55.26721143104843,65.39243472368645,3,0
27.194303707715893,35.099150174941215,42.61990639258603,34.17172949257957,48.213148882392794,58.59920573878167,4,0
25.68048373872959,32.101912354270155,38.57485781414928,31.2382400918108,43.02011117567185,52.85686472764561,5,0
24.619598795227905,29.93448357624642,35.50074447421517,29.163328569733157,39.11312051728077,48.106133530273134,6,0
23.838000672766135,28.30540960265109,33.10947757689289,27.625966055310446,36.101612441896485,44.192293610589466,7,0
23.240342699602344,27.042839856854286,31.210313944118045,26.446022467599974,33.727694502895176,40.956008975142,8,0
22.77004458460435,26.03986377568457,29.674368826240563,25.515129893505488,31.819226148895012,38.26098423394869,9,0
22.39145763245478,25.226873391395202,28.412502852600557,24.76437593476912,30.258734255253383,35.99801835675232,10,0
22.081026902440087,24.556771037165383,27.361613032413757,24.147927458395863,28.96406441934951,34.0817056816521,11,0
21.822574913501313,23.99663311730208,26.476033866208546,23.63415462084994,27.876382470160348,32.44567699307603,12,0
21.60462943222476,23.522793999120864,25.72204222744773,23.200545411879716,26.952620852803204,31.038254983855577,13,0
21.4188327030174,23.11782953734589,25.074270910781774,22.830653051093858,26.16062081379071,29.8189591265922,14,0
21.258954353321787,22.7686409094635,24.51331734504288,22.512189733981376,25.475936319875508,28.755827718076155,15,0
21.120256873772092,22.465199829038728,24.02411592515019,22.23579514845839,24.879683849094,27.82340504854978,16,0
20.999075139980828,22.1997045395957,23.59480831234975,21.994217155228252,24.357065015753754,27.001236897423098,17,0
20.89253029563207,21.965998467339347,23.215944982087684,21.78175247437417,23.8963314394803,26.272744490324435,18,0
20.7983304800795,21.759161227937863,22.87991131751539,21.593856102447962,23.488046285889364,25.624377529690587,19,0
