VCP0.32f30000h1,VCP0.71f30000h1,VCP1.18f30000h1,HCP0.32f30000h1,HCP0.71f30000h1,HCP1.18f30000h1,x,y
5.795699147329238,12.525746472130168,19.735262124382015,11.511512790272976,24.24838736039011,36.34354818855816,0,0
5.122942091769675,11.11206304491155,17.62943899948784,10.185243129022819,21.608067792973934,32.81201356688022,1,0
4.599635447635469,10.00022838425864,15.9389244543396,9.150481705284664,19.502450377112442,29.880042597478134,2,0
4.182204732353877,9.10628420578388,14.558834173869641,8.323308124518839,17.792494255971803,27.42641000545352,3,0
3.842427933214376,8.37434650768377,13.415677698831528,7.648954392373136,16.382019743855885,25.355565909403268,4,0
3.561236123078869,7.7658891321084065,12.456780405967802,7.0902109940164,15.202859966479092,23.593146328700165,5,0
3.325288885280682,7.253546582150745,11.643583116441002,6.6209393507182694,14.205587550199528,22.081335796075642,6,0
3.1249780834523007,6.817375961302495,10.947310612118272,6.222254284647997,13.353609648076805,20.774978924817233,7,0
2.9532109293230944,6.442517669210101,10.346110934187292,5.880180118936087,12.619322363795307,19.638551264701746,8,0
2.804639469714434,6.117683498011667,9.823125854093586,5.584158372052242,11.98154894804939,18.643868105988197,9,0
2.6751566220241334,5.834151390155221,9.365163067357004,5.326067403442619,11.423795810131486,17.768369552543184,10,0
2.5615571382404734,5.585080108848322,8.961765151719979,5.099560555041331,10.933040983572644,16.993838482453405,11,0
2.46130383438188,5.365031487327366,8.604545256886912,4.899608466399186,10.49887658795139,16.30543865850901,12,0
2.37236286000909,5.169630688099945,8.286705414401952,4.7221757838591385,10.112891322137058,15.690988579728035,13,0
2.2930853532427657,4.995320246437346,8.002682035333546,4.5639884351904465,9.768218726604065,15.140409185050393,14,0
2.22212093713097,4.839179112988251,7.747881410935888,4.422363229805253,9.459201890800053,14.6453003770988,15,0
2.158353498708525,4.698787556480475,7.518479852513078,4.29508116810728,9.181141253810004,14.198613620355907,16,0
2.100852834927324,4.572124952275184,7.311270897166048,4.180291932005057,8.930102567120784,13.794396725231476,17,0
2.0488377763638494,4.457491504946663,7.123547224335776,4.076440967006626,8.702769006219926,13.427593296137488,18,0
2.0016477337351946,4.353447627795513,6.953008477261098,3.9822131656833126,8.49632608596781,13.09388390579585,19,0
